chr,start,end
chr1,17011438,17262235
chr1,144945033,145080039
chr1,149202543,149691734
chr2,89133619,89593743
chr2,117778827,117925535
chr4,12245591,12570452
chr8,39235591,39386953
chr9,44795718,46390902
chr12,31170943,31310983
chr14,106246290,106821724
chr15,22301994,22521201
chr17,44208144,44364158
chr21,11084669,14612597
chr1,17011438,17262235
chr1,144945033,145080039
chr1,149157433,149715562
chr1,196706866,196827843
chr2,89136116,89501226
chr2,117778827,117933011
chr2,188414900,188715580
chr2,188893656,188995139
chr2,189129058,189293677
chr3,75638729,75913502
chr3,125424460,125668304
chr3,129716127,129907258
chr4,4026195,4186049
chr4,12262990,12565287
chr5,642720,818743
chr6,94285529,94440604
chr7,72239597,72739730
chr8,12275729,12570377
chr9,40560848,46390902
chr10,55224387,55379754
chr10,96495177,96650349
chr11,67482647,67728086
chr12,8409690,8635517
chr12,80005271,80135755
chr12,85033644,85141236
chr13,55684320,55798717
chr14,106194465,106826100
chr15,20963589,21139535
chr15,22380861,22588019
chr16,69715924,69841459
chr17,44165803,44428669
chr19,17418216,17610210
chr19,20313262,20438925
chr19,21503434,21727308
chr19,43255205,43448006
chr19,53123577,53234909
chr20,62279544,62409047
chr21,11084669,14603577
chr22,39365568,39481998
chrX,90864846,91070444
chrX,91556779,92056886
chr1,17011438,17262235
chr1,149202543,149691734
chr1,196706866,196827843
chr2,89136040,89501226
chr2,117778827,117925535
chr4,12261033,12570452
chr7,83834330,83939779
chr8,39250960,39386953
chr9,40552256,46390902
chr9,68725186,69587268
chr13,93868944,93988638
chr14,31085088,31221748
chr14,41968734,42172353
chr14,106194465,106303437
chr14,106342305,106693466
chr15,22301994,22503861
chr17,44201376,44364158
chrX,91699891,92087478
chr1,17011438,17262235
chr1,144841150,145033126
chr2,89133112,89501226
chr2,117778827,117925535
chr4,12261033,12565287
chr8,39235591,39386953
chr9,44795718,46390902
chr14,106194465,106747087
chr15,22301994,22681064
chr17,44165803,44364158
chr1,17022269,17262235
chr2,89133112,89583895
chr2,117778827,117925535
chr4,12261033,12570452
chr5,717367,825641
chr8,39235591,39386953
chr14,106246290,106709975
chr15,22301994,22681064
chr17,44165803,44364158
chr21,11084669,14612597
chr1,148916177,149190306
chr1,196706866,196812518
chr2,89136040,89583895
chr2,242915454,243034674
chr5,26116348,26224902
chr8,39235591,39388287
chr12,8004413,8142626
chr12,8516457,8644058
chr14,106194465,106770845
chr15,22159029,22681064
chr16,34517294,34647825
chr17,44208674,44401055
chr19,20596194,20716377
chr1,196706866,196823824
chr2,89133112,89593743
chr2,242915454,243034674
chr3,75439781,75913502
chr3,125396832,125629828
chr3,129730687,129914958
chr4,3903702,4185610
chr5,26124031,26224902
chr6,94306954,94419833
chr7,72329779,72761420
chr7,106549853,106650851
chr7,109219703,109367010
chr7,113955913,114087629
chr7,115749957,115921488
chr7,118267156,118383122
chr7,120165759,120321318
chr7,124324346,124439996
chr7,127343016,127504564
chr8,12239823,12570377
chr8,39235591,39386953
chr11,71352127,71527699
chr12,8004413,8142626
chr12,8412050,8622599
chr12,19805311,19985796
chr12,53502438,53771335
chr12,57198622,57442818
chr12,62617222,62756622
chr12,65220367,65329760
chr12,106903321,107055702
chr14,105988026,106821724
chr15,22159029,22681064
chr15,24477794,24714778
chr16,34459025,34767493
chr19,20598431,20716377
chr19,42184608,42293949
chr19,43211270,43565519
chr19,53968383,54265278
chr21,11084669,14595732
chr22,22968324,23258603
chrX,91556779,92056886
chr1,148662322,149190306
chr2,89145812,89473820
chr2,242915454,243026246
chr5,26116348,26234904
chr8,39235591,39386953
chr12,191042,865970
chr12,875342,11921305
chr12,11937419,30235581
chr12,30243710,33294648
chr12,33308348,34231103
chr12,34244929,39120155
chr12,39137966,59015634
chr12,59031805,59222198
chr12,59232371,75056986
chr12,75079369,77897313
chr12,77926468,90871512
chr12,90937170,92110716
chr12,92129614,100096290
chr12,100124102,101600637
chr12,101609135,103648822
chr12,103681877,104694741
chr12,104698191,112121870
chr12,112125392,115707433
chr12,115732992,116236839
chr12,116245853,118804596
chr12,118811654,125433692
chr12,125439806,128514645
chr12,128531565,131749426
chr12,131751559,132972643
chr12,133045901,133777645
